title,content_id
음성 읍내리 삼층석탑,1115848
음성 하당골녹색체험마을,129340
음성 흥미진진한 팩토리 투어센터,2548173
음성동요마을,1938278
음성잿말고택(김주태가옥),1114959
음성큰바위얼굴테마파크,129275
음성향교,1116438
응천공원,2770082
의림지 파크 랜드,3033909
의림지솔밭공원,2751857
이끼터널,2778945
이상설생가,2733448
이시진 효자각,1688027
이원양조장,2865402
임경업 장군 묘소,1688053
자연드림파크(괴산),2599652
자작자작협동조합,3021290
작은 동산(외솔봉),2736143
잘산대대박마을,2632986
장계관광지,2770314
장락사(제천),479560
장암 정호 묘소,1678501
장회나루,2610558
잼토리 JAMTORY,2775016
정방사,125876
정심사(충주),479890
정지용 생가,127281
정후사(금당서원),1955999
제비봉,126651
제원 송계리 망개나무,1684111
제천 가스트로 투어,2900855
제천 교리 방단석조물,1684951
제천 덕주산성,125952
제천 무암사 목조아미타여래좌상,1684694
제천 백련사 목조아미타여래좌상,1683410
제천 사자빈신사지 사사자 구층석탑,129463
제천 산야초마을,128410
제천 소악사지 삼층석탑,1684436
제천 송계리 대불정주 범자비,1684091
제천 시곡리 석조여래입상,1684117
제천 엽연초생산조합 구사옥,1684192
제천 엽연초수납 취급소,1684220
제천 옥순봉,299998
제천 옥순봉 출렁다리,2806034
제천 의림지와 제림,127804
제천 입석리 선돌,1684287
제천 자양영당,1627353
제천 장락동 칠층모전석탑,1684303
제천 점말동굴유적,1627373
제천 중전리 고가,1682936
제천 지곡리 고가,1684863
제천 청풍 금남루,1684531
제천 청풍 금병헌,1685484
제천 청풍 망월산성,1627356
제천 청풍 응청각,1685168
제천 청풍 한벽루,1685185
제천 청풍관광마을,1685656
제천 청풍향교,1685990
제천 청풍호 자드락길 5코스(옥순봉길),2774290
제천 한산사 석조여래입상,1684373
제천왕건촬영지,2789645
제천한방엑스포공원,1842147
제천한방자연치유센터,1992621
제천향교,1685225
조동산촌마을,127780
조령민속공예촌,127290
조령산자연휴양림,125432
조산공원,1688386
좌구산 자연휴양림,1087114
주정산 봉수,1688418
죽계서원(청주),1956265
죽령폭포,129650
중선암,1626649
중앙탑공원(충주),128623
중원 미륵리 도요지,1688501
중원당 (청명주 양조장),2372036
증평 광덕사,298084
